biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff b1b762 9da43b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 507a32 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 80b497 60a17b
biome 41 ffffff 80b497 60a17b
biome 42 ffffff 80b497 60a17b
biome 43 ffffff 80b497 60a17b
biome 44 ffffff 47cd33 1abf00
biome 45 ffffff 47cd33 1abf00
biome 46 993333 81bb75 60a952
biome 47 ffffff 8eb971 71a74d
biome 48 990000 81bb75 60a952
biome 49 ffffff 81bb75 60a952
biome 50 184220 314d31 314d31
biome 51 1b3944 314d31 314d31
biome 52 1b3944 314d31 314d31
biome 53 184220 314d31 314d31
biome 54 485e18 314d31 314d31
biome 55 485e18 314d31 314d31
biome 56 3a2f0b 314d31 314d31
biome 57 cc0066 81bb75 60a952
biome 58 ffffff 80b497 60a17b
biome 59 ffffff 80b497 60a17b
biome 60 ffffff 80b497 60a17b
biome 61 ffffff 84b883 65a563
biome 62 001a13 84b883 65a563
biome 63 ffffff 84b883 65a563
biome 64 ffffff 8eb971 71a74d
biome 65 19d119 7cbd6b 5bab46
biome 66 19d119 7cbd6b 5bab46
biome 67 19d119 7cbd6b 5bab46
biome 68 ffffff 7cbd6b 5bab46
biome 69 ffffff 7cbd6b 5bab46
biome 70 ffffff 7cbd6b 5bab46
biome 71 ffffff 8eb971 71a74d
biome 72 ffffff 80b497 60a17b
biome 73 ffffff 81bb75 60a952
biome 74 ffffff b2b762 9ea43b
biome 75 ffffff c6ff54 c6ff54
biome 76 ffffff 74bf26 74bf26
biome 77 ffffff 4e8833 4e8833
biome 78 5c5835 314d31 314d31
biome 79 ffffff b6b957 a3a52d
biome 80 ffffff c1b668 c1b668
biome 81 ffffff 53ca37 29bc05
biome 82 ffffff a6bb4e 91a922
biome 83 ffffff 81bb75 60a952
biome 84 ffffff 7cbd6b 5bab46
biome 85 ffffff 7cbd6b 5bab46
biome 86 ffffff ff4080 ffe010
biome 87 000000 2c5a80 2c5a80
biome 88 ffffff a0b676 87a353
biome 89 ffffff 7cbd6b 5bab46
biome 90 ffffff 7cbd6b 5bab46
biome 91 ffffff bfb755 aea42a
biome 92 ffffff 47cd33 1abf00
biome 93 ffffff a0b676 87a353
biome 94 ffffff a0b676 87a353
biome 95 ffffff a0b676 87a353
biome 96 ffffff a0b676 87a353
biome 97 191919 80b497 60a17b
biome 98 99ff66 81bb75 60a952
biome 99 ffffff 81bb75 60a952
biome 100 0a2a72 dbe6e5 dbe6e5
biome 101 ffffff a0b676 87a353
biome 103 ffffff 47cd33 1abf00
biome 104 ffffff 47cd33 1abf00
biome 105 3c3214 2c0929 271137
biome 106 ffffff 47cd33 1abf00
biome 107 ffffff 47cd33 1abf00
